Img name,Layer2 In,Layer2 Out,Layer5 In,Layer5 Out,Layer8 In,Layer8 Out,Layer11 In,Layer11 Out
1686,0.281,0.257,0.164,0.131,0.159,0.204,3.483,3.624
1687,0.286,0.401,0.144,0.157,0.127,0.194,2.842,2.062
169,0.301,0.275,0.129,0.196,0.204,0.272,4.654,3.54
1690,0.22,0.189,0.15,0.124,0.172,0.211,3.084,2.607
1693,0.142,0.28,0.171,0.171,0.146,0.186,3.342,1.925
1695,0.152,0.193,0.16,0.108,0.221,0.118,2.98,3.701
1697,0.358,0.246,0.118,0.176,0.122,0.245,3.175,4.109
1698,0.372,0.36,0.156,0.147,0.132,0.141,2.519,2.489
17,0.321,0.373,0.103,0.177,0.105,0.181,3.594,4.088
1700,0.3,0.357,0.149,0.188,0.125,0.19,2.998,1.966
1703,0.334,0.257,0.117,0.282,0.135,0.248,3.402,3.455
1704,0.33,0.275,0.155,0.192,0.116,0.14,2.896,2.111
1709,0.228,0.169,0.138,0.121,0.178,0.124,4.189,2.284
1710,0.299,0.361,0.158,0.12,0.154,0.162,2.84,3.225
1711,0.304,0.284,0.149,0.059,0.136,0.123,3.751,1.279
1712,0.213,0.247,0.169,0.143,0.16,0.168,3.529,1.809
1713,0.198,0.329,0.124,0.186,0.162,0.177,2.84,2.994
1714,0.251,0.194,0.184,0.174,0.166,0.24,3.658,4.17
1717,0.29,0.325,0.163,0.148,0.162,0.166,2.738,2.616
1724,0.269,0.419,0.135,0.176,0.118,0.171,3.033,1.922
1725,0.211,0.383,0.131,0.156,0.181,0.194,3.228,1.154
1730,0.268,0.271,0.171,0.135,0.174,0.174,2.982,3.578
1731,0.346,0.255,0.17,0.149,0.188,0.175,1.787,2.55
1732,0.183,0.291,0.229,0.146,0.231,0.132,3.445,3.289
1733,0.339,0.277,0.131,0.205,0.198,0.164,3.854,2.423
1734,0.232,0.357,0.177,0.223,0.151,0.233,4.105,2.633
1738,0.221,0.173,0.163,0.136,0.151,0.201,3.125,4.853
1740,0.358,0.283,0.17,0.145,0.161,0.164,3.852,3.851
1746,0.331,0.23,0.138,0.111,0.181,0.315,3.453,4.961
1748,0.315,0.354,0.158,0.14,0.174,0.277,3.344,4.254
1753,0.297,0.307,0.134,0.181,0.133,0.168,2.669,2.851
1754,0.33,0.433,0.165,0.177,0.154,0.127,3.121,1.713
1756,0.306,0.257,0.156,0.18,0.203,0.198,3.825,2.08
1758,0.258,0.242,0.14,0.082,0.145,0.201,3.531,2.804
1762,0.268,0.235,0.136,0.178,0.195,0.171,1.978,1.536
1763,0.345,0.432,0.154,0.183,0.147,0.167,2.309,1.808
1764,0.293,0.492,0.138,0.216,0.126,0.233,2.32,1.082
1765,0.43,0.304,0.149,0.13,0.139,0.183,4.712,4.099
1766,0.326,0.279,0.149,0.117,0.113,0.203,3.898,4.626
1767,0.311,0.331,0.161,0.168,0.181,0.164,4.055,2.025
177,0.465,0.236,0.178,0.139,0.265,0.181,3.807,4.265
1770,0.17,0.219,0.183,0.193,0.175,0.171,3.058,2.468
1773,0.338,0.602,0.139,0.06,0.131,0.084,3.551,2.115
1776,0.343,0.353,0.173,0.154,0.22,0.156,2.768,2.106
1777,0.119,0.309,0.153,0.149,0.165,0.165,3.603,1.621
1781,0.331,0.338,0.137,0.129,0.135,0.26,4.065,4.701
1782,0.392,0.286,0.146,0.143,0.146,0.181,2.675,4.226
1783,0.2,0.347,0.146,0.146,0.147,0.236,2.903,3.51
1787,0.36,0.326,0.189,0.116,0.222,0.135,4.147,1.649
1788,0.285,0.384,0.171,0.161,0.147,0.146,1.93,1.188
179,0.425,0.244,0.102,0.158,0.09,0.185,2.97,4.64
1790,0.508,0.257,0.13,0.161,0.161,0.214,3.634,4.674
1793,0.535,0.305,0.122,0.159,0.134,0.175,3.062,4.31
1794,0.357,0.34,0.161,0.108,0.147,0.189,2.725,2.98
1795,0.241,0.276,0.229,0.117,0.244,0.128,4.213,4.043
1796,0.3,0.337,0.175,0.247,0.134,0.215,2.727,1.851
1797,0.294,0.35,0.18,0.144,0.177,0.146,2.808,1.493
180,0.221,0.236,0.154,0.099,0.21,0.156,4.014,2.967
1801,0.257,0.344,0.183,0.107,0.184,0.178,3.411,2.199
1804,0.388,0.249,0.13,0.162,0.211,0.168,1.855,2.609
1805,0.35,0.226,0.172,0.187,0.135,0.308,3.151,3.514
1806,0.212,0.207,0.172,0.146,0.149,0.16,1.967,3.749
1807,0.241,0.363,0.18,0.154,0.158,0.201,3.007,2.491
181,0.234,0.184,0.166,0.178,0.167,0.201,3.019,4.063
1810,0.312,0.439,0.114,0.184,0.15,0.181,2.925,2.107
1811,0.385,0.188,0.11,0.167,0.092,0.231,2.87,4.264
1812,0.34,0.282,0.137,0.137,0.112,0.154,4.58,3.617
1814,0.287,0.231,0.157,0.127,0.155,0.144,3.609,3.275
1815,0.179,0.264,0.174,0.156,0.171,0.166,2.639,2.202
1817,0.289,0.337,0.174,0.188,0.176,0.164,2.264,1.662
1818,0.41,0.282,0.177,0.115,0.174,0.152,3.64,3.262
182,0.394,0.19,0.169,0.161,0.108,0.164,2.283,3.47
1821,0.347,0.407,0.189,0.042,0.163,0.088,3.11,0.886
1822,0.159,0.266,0.181,0.182,0.182,0.179,3.075,2.573
1826,0.315,0.209,0.162,0.15,0.166,0.167,3.286,2.879
1828,0.185,0.297,0.191,0.13,0.16,0.163,4.312,3.125
183,0.456,0.209,0.15,0.14,0.124,0.168,3.71,4.276
1832,0.247,0.166,0.166,0.16,0.16,0.187,3.306,3.077
1834,0.343,0.353,0.124,0.168,0.146,0.149,3.672,4.257
1835,0.355,0.297,0.144,0.133,0.129,0.182,4.379,4.167
1836,0.293,0.255,0.158,0.111,0.191,0.115,4.011,3.065
1837,0.367,0.146,0.146,0.067,0.128,0.088,3.539,2.211
1839,0.358,0.251,0.126,0.142,0.114,0.274,4.487,4.0
1840,0.326,0.31,0.144,0.166,0.159,0.258,4.052,3.536
1845,0.309,0.32,0.163,0.116,0.148,0.174,3.315,3.992
1846,0.368,0.335,0.116,0.234,0.09,0.156,2.769,3.612
1848,0.371,0.273,0.139,0.146,0.132,0.195,3.01,4.648
1849,0.289,0.362,0.134,0.15,0.117,0.204,2.547,3.74
185,0.499,0.205,0.173,0.163,0.11,0.165,3.094,3.399
1851,0.298,0.345,0.105,0.16,0.063,0.17,2.167,3.638
1854,0.444,0.306,0.131,0.131,0.139,0.172,4.655,4.153
1855,0.339,0.351,0.121,0.109,0.169,0.15,3.5,3.467
1856,0.459,0.272,0.135,0.163,0.112,0.153,2.729,3.97
1857,0.307,0.346,0.131,0.12,0.133,0.131,3.929,2.955
1858,0.342,0.373,0.133,0.105,0.102,0.182,4.412,3.031
1859,0.363,0.258,0.144,0.164,0.128,0.169,3.631,2.583
186,0.419,0.235,0.171,0.17,0.22,0.155,4.18,4.308
1860,0.366,0.29,0.126,0.16,0.116,0.169,4.506,2.953
1861,0.37,0.305,0.113,0.142,0.077,0.191,4.047,4.041
1862,0.37,0.311,0.162,0.171,0.117,0.186,4.885,2.57
1863,0.42,0.329,0.141,0.213,0.094,0.201,5.127,3.161
1867,0.328,0.393,0.136,0.16,0.131,0.167,3.435,3.903
1868,0.32,0.457,0.137,0.146,0.112,0.175,2.831,3.872
1869,0.282,0.333,0.155,0.091,0.117,0.285,3.566,4.492
187,0.45,0.202,0.179,0.178,0.186,0.149,3.603,4.012
1870,0.321,0.405,0.136,0.114,0.126,0.276,3.263,4.407
1871,0.316,0.376,0.132,0.124,0.134,0.226,2.478,4.101
1872,0.325,0.417,0.109,0.126,0.137,0.192,2.867,3.803
1873,0.305,0.358,0.118,0.129,0.129,0.253,2.174,3.884
1874,0.401,0.259,0.142,0.14,0.127,0.167,2.859,3.436
1875,0.328,0.327,0.135,0.122,0.208,0.175,3.625,3.319
1876,0.324,0.394,0.136,0.141,0.125,0.291,2.581,3.849
1879,0.37,0.345,0.173,0.087,0.135,0.174,3.795,3.395
1880,0.319,0.399,0.168,0.139,0.143,0.168,2.869,4.092
1881,0.395,0.367,0.161,0.164,0.115,0.179,4.129,3.885
1882,0.354,0.35,0.164,0.173,0.11,0.153,4.375,4.123
1886,0.334,0.182,0.142,0.048,0.142,0.1,3.56,0.642
189,0.387,0.259,0.168,0.117,0.152,0.159,4.424,4.166
1892,0.303,0.355,0.144,0.141,0.188,0.204,4.222,4.278
1893,0.221,0.47,0.165,0.317,0.171,0.18,4.225,3.51
1894,0.281,0.346,0.182,0.122,0.179,0.135,3.932,4.277
1895,0.311,0.31,0.133,0.111,0.183,0.153,4.286,2.197
190,0.3,0.195,0.146,0.119,0.134,0.178,3.078,4.071
1901,0.284,0.247,0.135,0.157,0.162,0.156,4.311,3.147
1902,0.229,0.262,0.167,0.056,0.176,0.113,4.029,1.945
1904,0.339,0.232,0.164,0.158,0.164,0.194,4.024,4.65
1906,0.329,0.199,0.119,0.185,0.116,0.226,3.27,4.452
1907,0.349,0.253,0.135,0.138,0.168,0.171,4.696,4.638
1908,0.293,0.264,0.149,0.134,0.161,0.143,4.03,3.036
1909,0.151,0.25,0.155,0.193,0.18,0.288,3.481,3.015
1910,0.312,0.287,0.134,0.161,0.147,0.215,4.148,3.95
1912,0.209,0.175,0.163,0.142,0.166,0.182,3.45,4.034
1914,0.384,0.177,0.156,0.156,0.162,0.155,4.079,3.601
1915,0.405,0.216,0.149,0.124,0.104,0.212,3.318,3.417
1916,0.344,0.316,0.165,0.121,0.155,0.164,3.677,2.607
1917,0.297,0.462,0.151,0.134,0.123,0.24,3.637,4.058
1920,0.336,0.256,0.154,0.122,0.134,0.216,3.772,2.776
1922,0.298,0.313,0.144,0.09,0.139,0.148,3.792,3.841
1925,0.349,0.29,0.118,0.114,0.16,0.165,4.905,4.245
1926,0.375,0.258,0.143,0.12,0.191,0.138,4.173,3.34
1935,0.25,0.228,0.205,0.15,0.21,0.157,4.86,3.881
1936,0.222,0.324,0.168,0.113,0.153,0.165,4.205,3.276
1937,0.5,0.277,0.168,0.156,0.133,0.178,3.468,4.038
1938,0.347,0.328,0.264,0.113,0.209,0.151,4.669,4.122
1939,0.347,0.265,0.098,0.16,0.083,0.164,1.946,4.41
1940,0.231,0.338,0.185,0.118,0.176,0.134,4.351,4.175
1941,0.477,0.24,0.142,0.183,0.148,0.167,3.141,4.079
1942,0.251,0.252,0.157,0.146,0.175,0.236,2.933,4.579
1943,0.308,0.39,0.175,0.12,0.157,0.144,3.337,3.645
1946,0.425,0.353,0.216,0.139,0.167,0.18,3.663,4.345
1947,0.344,0.264,0.19,0.135,0.217,0.179,3.542,4.04
1948,0.296,0.208,0.283,0.169,0.331,0.127,5.214,3.681
1950,0.249,0.273,0.217,0.142,0.214,0.138,4.431,3.554
1951,0.25,0.24,0.111,0.197,0.087,0.197,2.612,4.6
1952,0.228,0.264,0.299,0.115,0.207,0.156,5.117,4.423
1953,0.366,0.176,0.118,0.175,0.083,0.181,3.122,2.499
1954,0.278,0.147,0.144,0.147,0.184,0.207,4.239,3.482
1955,0.329,0.248,0.157,0.127,0.165,0.213,4.61,3.387
1956,0.297,0.224,0.171,0.135,0.227,0.138,5.677,3.855
1957,0.273,0.219,0.167,0.14,0.224,0.145,4.687,3.369
1958,0.3,0.169,0.106,0.156,0.191,0.155,4.176,3.807
1959,0.339,0.17,0.143,0.144,0.153,0.19,4.518,3.353
196,0.294,0.181,0.249,0.108,0.237,0.173,3.675,3.865
1960,0.367,0.189,0.119,0.187,0.126,0.204,3.683,3.923
1961,0.439,0.286,0.119,0.18,0.114,0.187,1.819,4.519
1962,0.254,0.249,0.12,0.134,0.157,0.169,3.117,3.212
1963,0.237,0.232,0.115,0.086,0.147,0.203,3.774,3.623
1965,0.332,0.176,0.132,0.168,0.113,0.21,3.169,3.694
1966,0.458,0.244,0.129,0.155,0.179,0.187,3.092,4.186
1967,0.355,0.235,0.168,0.142,0.16,0.214,3.937,4.406
1968,0.534,0.266,0.04,0.183,0.038,0.176,2.473,4.285
1969,0.233,0.221,0.101,0.238,0.061,0.148,1.492,3.718
1970,0.192,0.274,0.097,0.193,0.076,0.136,1.088,3.311
1971,0.365,0.181,0.112,0.177,0.077,0.168,2.475,3.567
1973,0.264,0.236,0.193,0.182,0.128,0.157,3.262,2.944
1974,0.319,0.335,0.206,0.098,0.15,0.138,3.561,3.173
1975,0.364,0.35,0.168,0.175,0.091,0.161,4.188,3.35
1977,0.357,0.219,0.095,0.202,0.094,0.196,3.77,2.123
1978,0.372,0.187,0.128,0.119,0.172,0.165,4.314,3.519
1979,0.321,0.194,0.15,0.14,0.178,0.186,4.347,3.591
198,0.373,0.167,0.187,0.129,0.191,0.2,3.077,3.277
1981,0.32,0.26,0.091,0.184,0.091,0.184,3.165,3.932
1983,0.213,0.174,0.029,0.201,0.061,0.197,2.145,3.17
1984,0.187,0.207,0.183,0.139,0.342,0.16,4.433,2.516
1985,0.209,0.161,0.155,0.16,0.161,0.17,3.078,2.244
1986,0.342,0.178,0.134,0.179,0.16,0.156,3.903,4.059
1987,0.438,0.193,0.119,0.164,0.163,0.194,3.735,4.008
1989,0.257,0.171,0.167,0.194,0.213,0.166,3.271,2.442
1992,0.19,0.247,0.097,0.171,0.067,0.212,3.486,3.66
1996,0.307,0.308,0.172,0.175,0.3,0.168,4.667,3.609
1999,0.417,0.362,0.159,0.105,0.13,0.215,4.376,4.255
20,0.247,0.439,0.124,0.12,0.136,0.166,2.824,3.507
200,0.308,0.196,0.115,0.206,0.125,0.189,2.572,5.037
2000,0.338,0.376,0.195,0.117,0.162,0.192,4.587,3.763
2001,0.352,0.316,0.172,0.189,0.167,0.177,4.504,4.014
2002,0.415,0.297,0.168,0.176,0.128,0.225,3.564,4.478
2003,0.448,0.29,0.181,0.176,0.153,0.201,3.738,4.667
2005,0.381,0.261,0.166,0.177,0.166,0.22,3.088,4.393
2008,0.428,0.234,0.145,0.174,0.16,0.214,3.32,4.34
2009,0.376,0.31,0.128,0.121,0.142,0.192,4.112,3.618
201,0.214,0.205,0.22,0.134,0.18,0.193,3.516,3.501
2010,0.258,0.385,0.2,0.113,0.15,0.152,4.142,4.105
2011,0.322,0.305,0.178,0.141,0.19,0.15,4.336,3.782
2012,0.325,0.265,0.167,0.161,0.164,0.297,4.878,4.53
2013,0.364,0.32,0.255,0.095,0.208,0.14,4.664,4.374
2014,0.395,0.3,0.153,0.137,0.152,0.198,4.741,3.705
2015,0.468,0.261,0.133,0.155,0.154,0.196,3.894,4.232
2016,0.318,0.256,0.147,0.166,0.128,0.272,4.32,3.788
2017,0.36,0.311,0.162,0.149,0.139,0.195,3.618,3.859
2018,0.364,0.326,0.187,0.101,0.167,0.147,4.504,3.892
2020,0.484,0.275,0.105,0.177,0.125,0.208,3.804,4.239
2021,0.331,0.331,0.157,0.1,0.145,0.166,4.073,2.854
2022,0.404,0.2,0.141,0.193,0.11,0.22,3.907,3.567
2023,0.458,0.264,0.101,0.175,0.105,0.212,3.659,3.937
2024,0.4,0.283,0.173,0.132,0.137,0.196,4.091,4.58
2026,0.439,0.244,0.127,0.159,0.05,0.194,2.789,4.639
2027,0.206,0.24,0.144,0.11,0.223,0.204,3.345,4.313
2028,0.398,0.249,0.098,0.158,0.141,0.16,2.614,4.49
2029,0.391,0.201,0.15,0.173,0.085,0.173,2.105,4.341
203,0.271,0.142,0.209,0.146,0.247,0.157,4.33,3.64
2030,0.344,0.216,0.143,0.111,0.144,0.19,4.296,3.094
2031,0.241,0.261,0.15,0.104,0.138,0.184,3.164,4.215
2032,0.343,0.216,0.145,0.103,0.144,0.238,3.654,4.209
2033,0.397,0.144,0.146,0.155,0.174,0.216,3.895,4.204
2034,0.321,0.296,0.109,0.134,0.103,0.224,2.333,4.298
2035,0.334,0.227,0.115,0.199,0.109,0.188,2.754,4.99
2036,0.325,0.308,0.153,0.124,0.159,0.196,3.978,3.988
2038,0.341,0.282,0.186,0.128,0.182,0.205,4.24,4.297
2039,0.247,0.31,0.19,0.147,0.134,0.194,4.079,2.969
2040,0.394,0.243,0.149,0.174,0.117,0.2,3.533,4.761
2041,0.314,0.3,0.152,0.128,0.203,0.197,4.178,3.87
2043,0.314,0.357,0.192,0.174,0.167,0.145,4.473,4.052
2044,0.357,0.242,0.186,0.124,0.171,0.104,5.141,3.675
2045,0.444,0.273,0.116,0.164,0.122,0.228,2.789,4.584
2047,0.511,0.271,0.073,0.145,0.052,0.181,3.24,3.961
2048,0.376,0.295,0.174,0.105,0.167,0.147,4.177,4.025
205,0.398,0.252,0.076,0.184,0.016,0.179,1.219,4.002
2050,0.466,0.276,0.068,0.153,0.088,0.238,2.698,4.779
2051,0.438,0.222,0.131,0.161,0.112,0.155,3.317,4.294
2052,0.327,0.251,0.227,0.135,0.21,0.179,3.549,4.206
2053,0.356,0.296,0.154,0.131,0.147,0.134,3.745,3.605
2055,0.376,0.304,0.138,0.195,0.112,0.226,2.893,4.576
2056,0.352,0.223,0.074,0.171,0.083,0.242,1.267,4.417
2057,0.503,0.266,0.181,0.139,0.161,0.168,4.193,4.471
2058,0.374,0.263,0.154,0.157,0.212,0.171,4.199,3.725
2059,0.387,0.246,0.131,0.16,0.123,0.158,2.941,4.796
206,0.319,0.271,0.186,0.16,0.152,0.163,3.846,3.998
2062,0.325,0.277,0.16,0.104,0.138,0.172,4.725,3.47
2063,0.418,0.244,0.192,0.152,0.153,0.161,3.987,3.825
2064,0.485,0.265,0.104,0.16,0.053,0.243,2.402,4.899
2065,0.512,0.275,0.09,0.136,0.087,0.218,1.777,5.123
2066,0.288,0.369,0.214,0.123,0.202,0.182,3.778,4.131
2067,0.381,0.295,0.156,0.156,0.157,0.167,3.715,4.038
2068,0.288,0.308,0.187,0.085,0.175,0.119,4.033,3.643
2069,0.434,0.277,0.158,0.146,0.199,0.183,3.465,4.133
2070,0.427,0.293,0.121,0.157,0.09,0.18,2.281,4.143
2071,0.387,0.271,0.154,0.137,0.125,0.248,3.877,4.762
2072,0.422,0.28,0.152,0.133,0.129,0.212,4.096,3.933
2073,0.294,0.314,0.148,0.132,0.102,0.199,2.332,4.406
2074,0.418,0.226,0.097,0.172,0.07,0.188,3.134,3.572
2075,0.268,0.322,0.249,0.12,0.235,0.189,5.176,4.192
2076,0.536,0.307,0.025,0.168,0.058,0.223,2.401,4.317
2077,0.464,0.291,0.097,0.159,0.073,0.195,2.619,4.471
208,0.177,0.246,0.197,0.143,0.275,0.129,2.228,3.228
2081,0.422,0.33,0.173,0.138,0.141,0.178,4.324,4.445
2082,0.703,0.329,0.021,0.132,0.002,0.198,2.279,4.311
2083,0.401,0.226,0.115,0.173,0.103,0.183,4.472,3.571
2085,0.368,0.223,0.106,0.153,0.116,0.166,2.559,4.648
2086,0.554,0.285,0.123,0.16,0.101,0.171,2.569,4.301
2087,0.336,0.278,0.204,0.136,0.236,0.211,3.56,4.522
2088,0.403,0.281,0.141,0.157,0.148,0.188,3.399,4.415
209,0.288,0.205,0.149,0.148,0.123,0.18,2.101,4.307
2090,0.199,0.269,0.274,0.155,0.291,0.166,4.125,4.18
2091,0.487,0.258,0.135,0.153,0.091,0.228,3.426,4.687
2092,0.381,0.225,0.075,0.128,0.046,0.166,3.309,3.841
2095,0.203,0.289,0.163,0.123,0.157,0.12,4.839,3.182
2096,0.455,0.243,0.128,0.164,0.127,0.188,2.393,3.924
2097,0.51,0.345,0.218,0.138,0.166,0.166,4.608,4.023
2098,0.253,0.35,0.226,0.104,0.188,0.153,4.346,4.108
210,0.339,0.31,0.183,0.157,0.126,0.138,2.93,3.615
2101,0.418,0.253,0.098,0.147,0.124,0.186,3.564,4.489
2102,0.296,0.226,0.137,0.158,0.104,0.227,2.212,4.295
2103,0.409,0.277,0.21,0.128,0.202,0.153,4.904,3.976
2104,0.434,0.259,0.123,0.164,0.111,0.221,2.891,4.545
2105,0.467,0.235,0.129,0.204,0.102,0.232,2.542,4.924
2106,0.519,0.279,0.114,0.171,0.121,0.123,4.985,3.773
2107,0.471,0.277,0.135,0.177,0.129,0.2,3.242,4.34
2108,0.202,0.142,0.151,0.14,0.139,0.17,2.845,2.803
2109,0.546,0.263,0.088,0.192,0.085,0.214,3.416,4.161
211,0.342,0.365,0.156,0.171,0.134,0.138,3.324,3.464
2110,0.42,0.274,0.141,0.151,0.145,0.22,3.515,4.043
2111,0.425,0.275,0.163,0.177,0.17,0.186,4.234,4.298
2112,0.317,0.366,0.138,0.131,0.134,0.143,4.137,3.979
2113,0.286,0.308,0.099,0.193,0.097,0.199,2.237,4.675
2114,0.204,0.21,0.089,0.163,0.093,0.201,2.369,3.71
2116,0.278,0.215,0.201,0.152,0.198,0.158,4.263,3.149
2118,0.424,0.291,0.158,0.161,0.128,0.252,4.119,4.203
2119,0.38,0.322,0.182,0.11,0.165,0.171,4.757,3.84
2120,0.366,0.294,0.116,0.18,0.11,0.245,4.084,4.494
2121,0.401,0.341,0.179,0.125,0.154,0.165,3.992,4.109
2123,0.416,0.292,0.107,0.169,0.081,0.232,2.779,4.431
2124,0.263,0.242,0.227,0.143,0.21,0.177,3.369,4.188
2125,0.316,0.356,0.184,0.111,0.14,0.175,4.03,3.501
2126,0.404,0.25,0.123,0.187,0.116,0.158,3.267,2.907
2127,0.45,0.317,0.146,0.18,0.095,0.186,4.05,3.618
2128,0.532,0.324,0.08,0.172,0.035,0.176,2.567,4.108
2129,0.331,0.374,0.139,0.105,0.131,0.204,4.135,3.758
2130,0.284,0.265,0.236,0.129,0.279,0.156,4.725,3.294
2131,0.422,0.292,0.178,0.122,0.154,0.22,3.938,4.191
2134,0.212,0.428,0.166,0.097,0.125,0.15,4.18,3.689
2136,0.372,0.297,0.153,0.13,0.18,0.185,4.363,4.142
2138,0.345,0.33,0.119,0.1,0.136,0.22,3.975,3.673
2139,0.351,0.241,0.139,0.157,0.14,0.192,3.413,3.039
214,0.265,0.318,0.125,0.175,0.137,0.165,3.737,3.564
2140,0.289,0.34,0.172,0.11,0.237,0.159,4.614,4.31
2142,0.238,0.36,0.178,0.114,0.145,0.156,3.701,4.175
2143,0.29,0.221,0.133,0.173,0.121,0.193,2.868,3.877
2145,0.196,0.336,0.145,0.102,0.186,0.154,3.514,4.122
2147,0.177,0.154,0.159,0.122,0.173,0.223,4.328,4.211
2148,0.377,0.212,0.172,0.179,0.131,0.179,3.601,3.919
2150,0.304,0.338,0.186,0.132,0.194,0.175,5.337,4.141
2151,0.356,0.302,0.126,0.176,0.113,0.18,2.888,3.106
2152,0.308,0.285,0.189,0.117,0.219,0.143,4.138,2.767
2154,0.352,0.202,0.125,0.134,0.151,0.208,3.139,4.27
2155,0.347,0.284,0.149,0.147,0.124,0.179,3.608,5.209
2156,0.309,0.38,0.156,0.092,0.14,0.194,3.734,3.638
2157,0.323,0.332,0.147,0.131,0.142,0.186,3.068,3.483
2158,0.322,0.308,0.138,0.168,0.153,0.155,4.778,3.306
2159,0.209,0.366,0.133,0.171,0.128,0.195,3.545,2.298
2161,0.303,0.245,0.168,0.137,0.138,0.152,2.711,2.763
2162,0.358,0.285,0.138,0.176,0.147,0.187,3.238,4.597
2163,0.45,0.333,0.139,0.159,0.11,0.135,4.205,2.695
2165,0.227,0.407,0.241,0.15,0.191,0.191,4.043,4.491
2166,0.518,0.322,0.14,0.181,0.127,0.169,2.457,3.879
2167,0.553,0.324,0.052,0.139,0.035,0.207,1.725,4.582
2168,0.503,0.266,0.168,0.167,0.103,0.239,2.958,4.674
2169,0.227,0.335,0.285,0.142,0.296,0.179,4.938,4.45
217,0.348,0.35,0.15,0.137,0.173,0.179,3.793,3.024
2170,0.205,0.338,0.205,0.151,0.213,0.215,4.425,4.518
2171,0.169,0.323,0.156,0.139,0.095,0.177,3.93,4.606
2172,0.494,0.307,0.242,0.134,0.264,0.161,4.13,3.553
2173,0.362,0.308,0.307,0.138,0.296,0.142,4.26,3.719
2174,0.195,0.349,0.207,0.175,0.176,0.204,3.469,3.88
2175,0.314,0.3,0.18,0.128,0.241,0.157,3.813,3.459
2176,0.274,0.299,0.223,0.14,0.466,0.157,5.343,3.771
2177,0.301,0.351,0.198,0.101,0.139,0.161,2.771,3.786
2181,0.145,0.241,0.154,0.14,0.2,0.146,4.322,3.558
2182,0.203,0.285,0.189,0.16,0.306,0.163,4.884,3.348
2185,0.231,0.261,0.272,0.108,0.317,0.151,5.166,3.951
2189,0.251,0.201,0.105,0.145,0.13,0.183,2.325,3.589
2190,0.502,0.259,0.103,0.153,0.093,0.195,1.56,4.456
2191,0.337,0.275,0.199,0.133,0.247,0.169,4.092,3.944
2192,0.3,0.297,0.204,0.124,0.203,0.159,4.92,3.506
2193,0.679,0.326,0.095,0.149,0.154,0.163,4.662,4.096
2195,0.17,0.145,0.136,0.195,0.138,0.218,3.288,3.853
2196,0.48,0.302,0.089,0.184,0.079,0.153,3.731,4.088
2199,0.281,0.262,0.238,0.109,0.212,0.144,4.19,3.737
2200,0.408,0.209,0.141,0.195,0.153,0.158,3.253,4.175
2201,0.493,0.246,0.114,0.173,0.123,0.165,2.8,4.124
2203,0.242,0.255,0.166,0.167,0.135,0.177,4.358,3.979
2205,0.25,0.341,0.172,0.105,0.177,0.147,3.052,4.038
2206,0.32,0.363,0.193,0.133,0.175,0.154,3.699,3.793
2207,0.426,0.27,0.161,0.15,0.134,0.136,2.57,2.942
2209,0.242,0.329,0.159,0.163,0.144,0.14,2.403,2.073
2210,0.27,0.345,0.168,0.176,0.139,0.139,2.524,2.585
2211,0.379,0.375,0.136,0.13,0.17,0.151,3.113,2.238
2212,0.186,0.257,0.115,0.186,0.125,0.174,2.865,3.636
2218,0.449,0.249,0.103,0.212,0.086,0.188,2.431,4.008
2219,0.29,0.194,0.16,0.226,0.131,0.159,2.765,2.951
2220,0.317,0.231,0.129,0.213,0.107,0.157,3.473,1.905
2223,0.318,0.333,0.154,0.152,0.17,0.277,3.315,4.118
2225,0.173,0.241,0.145,0.181,0.186,0.17,2.898,1.418
2227,0.184,0.238,0.175,0.144,0.16,0.19,3.004,3.292
2229,0.222,0.245,0.135,0.157,0.119,0.135,2.421,2.921
2230,0.227,0.291,0.145,0.148,0.149,0.137,4.6,2.323
2231,0.203,0.309,0.163,0.191,0.157,0.202,2.749,1.886
2233,0.166,0.31,0.19,0.081,0.202,0.117,4.243,2.068
2234,0.207,0.295,0.16,0.154,0.199,0.128,3.009,1.813
2235,0.302,0.357,0.145,0.137,0.16,0.122,3.689,2.428
2236,0.188,0.315,0.163,0.169,0.158,0.144,3.279,2.702
2237,0.236,0.301,0.167,0.156,0.111,0.173,1.533,2.986
2238,0.247,0.318,0.191,0.124,0.193,0.11,3.29,2.996
2239,0.247,0.393,0.192,0.148,0.167,0.135,3.201,3.72
2241,0.224,0.282,0.089,0.177,0.108,0.16,2.533,3.064
2243,0.363,0.308,0.089,0.176,0.069,0.189,2.556,2.918
2244,0.458,0.277,0.16,0.159,0.114,0.16,3.016,2.855
2245,0.403,0.206,0.158,0.187,0.122,0.21,2.469,3.679
2246,0.447,0.213,0.128,0.166,0.152,0.184,3.245,2.537
2247,0.41,0.306,0.175,0.131,0.133,0.167,4.034,2.477
2248,0.221,0.3,0.168,0.141,0.19,0.206,3.757,3.505
2249,0.486,0.265,0.139,0.191,0.128,0.166,2.391,3.536
225,0.377,0.268,0.142,0.158,0.097,0.219,3.421,3.332
2250,0.356,0.301,0.174,0.135,0.159,0.202,3.444,3.198
2251,0.27,0.145,0.158,0.168,0.195,0.151,3.59,3.075
2252,0.353,0.17,0.125,0.163,0.11,0.173,2.832,3.329
2253,0.368,0.153,0.149,0.155,0.121,0.154,3.314,2.85
2254,0.278,0.393,0.149,0.162,0.18,0.197,4.405,2.98
2256,0.15,0.231,0.182,0.132,0.206,0.115,4.811,2.718
